USD - Долар США
EUR - Євро
GBP - Фунт стерлінгів Великобританії
JPY - Японська єна
CHF - Швейцарський франк
CNY - Китайський юань женьмiньбi
RUB - Російський рубль
AED - Дирхам ОАЕ
AFN - Афганський афгані
ALL - Албанський лек
AMD - Вiрменський драм
AOA - Ангольська кванза
ARS - Аргентинський песо
AUD - Австралійський долар
AZN - Азербайджанський манат
BDT - Бангладеська така
BGN - Болгарський лев
BHD - Бахрейнський динар
BIF - Бурундійський франк
BND - Брунейський долар
BOB - Болівійський болівіано
BRL - Бразильський реал
BWP - Ботсванська пула
BYN - Білоруський рубль
CAD - Канадський долар
CDF - Конголезький франк
CLP - Чилійське песо
COP - Колумбійське песо
CRC - Костаріканський колон
CUP - Кубинське песо
CZK - Чеська крона
DJF - Джибутійський франк
DKK - Данська крона
DOP - Домініканське песо
DZD - Алжирський динар
EGP - Єгипетський фунт
ETB - Ефіопський бир
GEL - Грузинський ларі
GHS - Ганський седі
GMD - Гамбійський даласі
GNF - Гвінейський франк
HKD - Гонконгівський долар
HRK - Хорватська куна
HUF - Угорський форинт
IDR - Індонезійська рупія
ILS - Ізраїльський шекель
INR - Індійська рупія
IQD - Іракський динар
IRR - Іранський ріал
ISK - Ісландська крона
JOD - Іорданський динар
KES - Кенійський шилінг
KGS - Киргизький сом
KHR - Камбоджийський ріел
KPW - Північно-корейська вона (КНДР)
KRW - Піденно-корейська вона (Корея)
KWD - Кувейтський динар
KZT - Казахстанський тенге
LAK - Лаоський кіп
LBP - Ліванський фунт
LKR - Шрі-ланкійська рупія
LYD - Лівійський динар
MAD - Мароканський дирхам
MDL - Молдовський лей
MGA - Малагасійський аріарі
MKD - Македонський денар
MNT - Монгольський тугрик
MRO - Мавританська уґія
MUR - Маврикійська рупія
MVR - Мальдівська руфія
MWK - Малавійська квача
MXN - Мексиканське песо
MYR - Малайзійський рингіт
MZN - Мозамбікський метикал
NAD - Намібійський долар
NGN - Нігерійська найра
NIO - Нікараґуанська кордоба
NOK - Норвезька крона
NPR - Непальська рупія
NZD - Ново­зеландський долар
OMR - Оманський ріал
PEN - Перуанський соль
PHP - Філіппінське песо
PKR - Пакістанська рупія
PLN - Польський злотий
PYG - Парагвайський ґуарані
QAR - Катарський ріал
RON - Новий румунський лей
RSD - Сербський динар
SAR - Саудівський ріал
SCR - Сейшельська рупія
SDG - Суданський фунт
SEK - Шведська крона
SGD - Сінгапурський долар
SLL - Сьєрра-леонський леоне
SOS - Сомалійський шилінг
SRD - Суринамський долар
SYP - Сирійський фунт
SZL - Свазілендський ліланґені
THB - Таїландський бат
TJS - Таджицький сомоні
TMT - Туркменський манат
TND - Туніський динар
TRY - Нова турецька ліра
TWD - Тайванський долар
TZS - Танзанійський шилінг
UGX - Угандійський шилінг
UYU - Уругвайське песо
UZS - Узбецький сум
VEF - Венесуельський болівар
VND - В'єтнамський донг
XAF - Франк КФА (Центральн Африка)
XDR - СПЗ
XOF - Франк КФА (Західна Африка)
YER - Єменський ріал
ZAR - Південно-африканський ренд
ZMK - Замбійська квача
